route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_0530_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_0600_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_0630_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_0700_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_0730_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_0800_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_0830_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_0900_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_0930_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1000_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1030_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1100_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1130_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1200_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1230_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1300_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1330_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1400_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1430_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1500_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1530_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1600_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1630_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1700_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1730_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1800_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1830_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1900_IDA,Sentido Valera,0,RUTA_ESC_VAL
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_0530_VUELTA,Sentido Escuque,1,RUTA_VAL_ESC
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_0600_VUELTA,Sentido Escuque,1,RUTA_VAL_ESC
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_0630_VUELTA,Sentido Escuque,1,RUTA_VAL_ESC
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_0700_VUELTA,Sentido Escuque,1,RUTA_VAL_ESC
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_0730_VUELTA,Sentido Escuque,1,RUTA_VAL_ESC
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_0800_VUELTA,Sentido Escuque,1,RUTA_VAL_ESC
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_0830_VUELTA,Sentido Escuque,1,RUTA_VAL_ESC
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_0900_VUELTA,Sentido Escuque,1,RUTA_VAL_ESC
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_0930_VUELTA,Sentido Escuque,1,RUTA_VAL_ESC
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1000_VUELTA,Sentido Escuque,1,RUTA_VAL_ESC
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1030_VUELTA,Sentido Escuque,1,RUTA_VAL_ESC
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1100_VUELTA,Sentido Escuque,1,RUTA_VAL_ESC
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1130_VUELTA,Sentido Escuque,1,RUTA_VAL_ESC
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1200_VUELTA,Sentido Escuque,1,RUTA_VAL_ESC
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1230_VUELTA,Sentido Escuque,1,RUTA_VAL_ESC
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1300_VUELTA,Sentido Escuque,1,RUTA_VAL_ESC
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1330_VUELTA,Sentido Escuque,1,RUTA_VAL_ESC
L-CUATRI,SERVICIO_DIARIO,L-CUATRI_1400_VUELTA,Sentido Escuque,1,RUTA_VAL_ESC
